level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
5,L5_Q1,"In Warpspace, identity echoes form when citizens with similar names hide across regions. Zero must find citizens whose name prefix matches another citizen in a different region, but only among structurally valid identities.","String logic combined with deep joins.","SELECT DISTINCT c.name FROM citizens c JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id JOIN factions f ON c.faction_id = f.id JOIN roles ro ON c.role_id = ro.id JOIN identity_logs il ON il.citizen_id = c.id WHERE c.is_corrupted = 0 AND EXISTS (SELECT 1 FROM citizens c2 JOIN addresses a2 ON c2.address_id = a2.id JOIN zones z2 ON a2.zone_id = z2.id WHERE SUBSTRING(c.name,1,3) = SUBSTRING(c2.name,1,3) AND z2.region_id <> r.id);","normal",0
5,L5_Q2,"Pixel discovers that some regions only appear stable because the second highest transaction hides the real collapse. Zero must identify regions whose second highest merchant revenue exceeds safe limits.","Second highest requires nested ordering.","SELECT r.region_name FROM regions r WHERE (SELECT MAX(total_rev) FROM (SELECT SUM(t.amount) AS total_rev FROM merchants m JOIN transactions t ON m.id = t.merchant_id WHERE m.region_id = r.id GROUP BY m.id HAVING SUM(t.amount) < (SELECT MAX(SUM(t2.amount)) FROM merchants m2 JOIN transactions t2 ON m2.id = t2.merchant_id WHERE m2.region_id = r.id GROUP BY m2.id)) x) > 500000;","normal",500
5,L5_Q3,"Nyx orders Zero to find citizens whose third lowest transaction amount is higher than the average transaction of their entire faction.","Ranking inside correlated logic.","SELECT c.name FROM citizens c WHERE (SELECT MIN(t.amount) FROM transactions t WHERE t.citizen_id = c.id AND t.amount > (SELECT MIN(t2.amount) FROM transactions t2 WHERE t2.citizen_id = c.id AND t2.amount > (SELECT MIN(t3.amount) FROM transactions t3 WHERE t3.citizen_id = c.id))) > (SELECT AVG(t4.amount) FROM transactions t4 JOIN citizens c4 ON t4.citizen_id = c4.id WHERE c4.faction_id = c.faction_id);","normal",1000
5,L5_Q4,"Warpspace fractures when roles leak across regions. Zero must identify roles whose citizens span more than two regions and whose role name contains encoded prefixes.","String matching plus aggregation.","SELECT ro.role_name FROM roles ro JOIN citizens c ON ro.id = c.role_id JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id GROUP BY ro.role_name HAVING COUNT(DISTINCT r.id) > 2 AND ro.role_name LIKE 'X_%';","normal",1500
5,L5_Q5,"Some factions manipulate identity logs by reusing addresses with similar street names. Zero must identify factions where two different zones share addresses with matching street suffixes.","String suffix + deep joins.","SELECT DISTINCT f.faction_name FROM factions f JOIN citizens c ON f.id = c.faction_id JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id WHERE EXISTS (SELECT 1 FROM addresses a2 JOIN zones z2 ON a2.zone_id = z2.id WHERE z2.id <> z.id AND RIGHT(a.street_name,4) = RIGHT(a2.street_name,4));","normal",2000
5,L5_Q6,"Nyx suspects artificial inflation where a citizen’s highest transaction is masking two extremely low ones. Zero must identify citizens whose highest transaction is at least five times their second lowest.","Compare ordered extremes.","SELECT c.name FROM citizens c WHERE (SELECT MAX(t.amount) FROM transactions t WHERE t.citizen_id = c.id) >= 5 * (SELECT MIN(t2.amount) FROM transactions t2 WHERE t2.citizen_id = c.id AND t2.amount > (SELECT MIN(t3.amount) FROM transactions t3 WHERE t3.citizen_id = c.id));","normal",2500
5,L5_Q7,"Pixel detects temporal corruption where citizens with similar email domains appear across unstable regions. Zero must identify such citizens.","String domain logic.","SELECT DISTINCT c.name FROM citizens c JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id WHERE r.stability_score < 50 AND SUBSTRING_INDEX(c.email,'@',-1) IN (SELECT SUBSTRING_INDEX(c2.email,'@',-1) FROM citizens c2 JOIN addresses a2 ON c2.address_id = a2.id JOIN zones z2 ON a2.zone_id = z2.id JOIN regions r2 ON z2.region_id = r2.id WHERE r2.id <> r.id);","normal",3000
5,L5_Q8,"Warpspace hides collapse by distributing low-level corruption evenly. Zero must identify regions whose third highest citizen threat exceeds the global second highest threat.","Cross-world ranking.","SELECT r.region_name FROM regions r WHERE (SELECT MAX(c.threat_level) FROM citizens c JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id WHERE z.region_id = r.id AND c.threat_level < (SELECT MAX(threat_level) FROM citizens WHERE threat_level < (SELECT MAX(threat_level) FROM citizens))) > (SELECT MAX(threat_level) FROM citizens WHERE threat_level < (SELECT MAX(threat_level) FROM citizens));","normal",3500
5,L5_Q9,"Nyx orders a stability audit to find citizens whose name patterns and transaction patterns match known collapse signatures.","Pattern matching meets aggregation.","SELECT c.name FROM citizens c WHERE c.name REGEXP '^[A-Z]{2}[0-9]+' AND (SELECT COUNT(*) FROM transactions t WHERE t.citizen_id = c.id AND t.amount < 10) >= 3;","normal",4000
5,L5_Q10,"Zero must isolate citizens who appear structurally valid but whose addresses, roles, factions, and regions form a dependency loop.","Dependency loop detection.","SELECT c.name FROM citizens c JOIN roles ro ON c.role_id = ro.id JOIN factions f ON c.faction_id = f.id JOIN addresses a ON c.address_id = a.id JOIN zones z ON a.zone_id = z.id JOIN regions r ON z.region_id = r.id WHERE ro.faction_id <> f.id OR f.region_id <> r.id;","normal",4500
