level,question_id,question_text,question_hint,question_answer,severity,unlock_status_xp_needed
11,L11_Q1,"After the fall of the Consensus Hydra, Zero discovers realities where changes appeared valid and consistent, yet were authored by entities that should never have had influence. Identify such realities.","Trust boundaries were crossed.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN actor_roles ar ON u.actor_id = ar.actor_id JOIN role_permissions rp ON ar.role_id = rp.role_id WHERE rp.can_modify = false;","normal",0
11,L11_Q2,"Pixel finds identities accessing records that were never meant to be visible to them, yet no alarms were raised. The access path appears legitimate. Identify such silent visibility breaches.","Visibility without authorization.","SELECT DISTINCT rd.read_id FROM read_logs rd JOIN actor_roles ar ON rd.actor_id = ar.actor_id JOIN role_permissions rp ON ar.role_id = rp.role_id WHERE rp.can_read = false;","normal",2500
11,L11_Q3,"Nyx suspects that some rows were selectively altered while the surrounding data remained untouched, making the change hard to detect. Identify updates that modified only sensitive fields.","Small changes hide well.","SELECT u.update_id FROM updates u JOIN update_steps us ON u.update_id = us.update_id JOIN fields f ON us.field_id = f.field_id GROUP BY u.update_id HAVING COUNT(*) = COUNT(CASE WHEN f.is_sensitive = true THEN 1 END);","normal",5000
11,L11_Q4,"Zero uncovers realities where historical records were subtly rewritten, yet global consistency checks passed. Identify realities where history differs across replicas but converged later.","Temporary lies leave scars.","SELECT DISTINCT r.id FROM realities r JOIN replica_history rh ON r.id = rh.reality_id GROUP BY r.id HAVING COUNT(DISTINCT rh.state_hash) > 1;","normal",7500
11,L11_Q5,"Pixel detects trusted components that introduced corrupted data into multiple realities simultaneously. These components never directly changed data themselves. Identify such indirect sources.","Supply chains can poison.","SELECT DISTINCT sc.component_id FROM supply_chain_logs sc JOIN updates u ON sc.component_id = u.source_component GROUP BY sc.component_id HAVING COUNT(DISTINCT u.reality_id) > 3;","normal",10000
11,L11_Q6,"Nyx notices that some changes passed every validation rule yet caused downstream systems to behave unpredictably. The issue traces back to training data corruption. Identify such poisoned inputs.","Correct data can still be wrong.","SELECT DISTINCT d.dataset_id FROM datasets d JOIN model_inputs mi ON d.dataset_id = mi.dataset_id JOIN updates u ON mi.update_id = u.update_id WHERE d.is_trusted = true AND mi.outlier_score > 0.95;","normal",12500
11,L11_Q7,"Zero finds that some actors accumulated influence gradually, never triggering alarms, until they effectively controlled entire realities. Identify such privilege accumulation paths.","Slow escalation avoids detection.","SELECT ar.actor_id FROM actor_roles ar GROUP BY ar.actor_id HAVING COUNT(DISTINCT ar.role_id) > 5;","normal",15000
11,L11_Q8,"Pixel suspects that some audit trails look complete but were constructed after the fact. Identify updates whose audit records were written later than expected.","Audits can be forged.","SELECT u.update_id FROM updates u JOIN audit_logs a ON u.update_id = a.update_id WHERE a.logged_time > u.end_time + INTERVAL '5 minutes';","normal",17500
11,L11_Q9,"Nyx detects realities where isolation and consensus held, yet outcomes were biased by manipulated inputs rather than faulty coordination. Identify such realities.","The system worked as designed.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN model_outputs mo ON u.update_id = mo.update_id WHERE mo.bias_score > 0.9;","normal",20000
11,L11_Q10,"Zero prepares a covert integrity sweep: identify realities where access misuse, subtle data alteration, and delayed auditing all occurred together.","Compromise hides in combinations.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN actor_roles ar ON u.actor_id = ar.actor_id JOIN role_permissions rp ON ar.role_id = rp.role_id JOIN audit_logs a ON u.update_id = a.update_id WHERE rp.can_modify = false AND a.logged_time > u.end_time + INTERVAL '5 minutes';","normal",22500
11,L11_BOSS1,"BOSS FIGHT: The Trust Eater corrupts reality not by breaking rules, but by exploiting them. Zero must isolate realities where unauthorized influence, poisoned inputs, delayed audits, and replica divergence all overlap.","This is adversarial correctness.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN actor_roles ar ON u.actor_id = ar.actor_id JOIN role_permissions rp ON ar.role_id = rp.role_id JOIN model_outputs mo ON u.update_id = mo.update_id JOIN replica_history rh ON r.id = rh.reality_id JOIN audit_logs a ON u.update_id = a.update_id WHERE rp.can_modify = false AND mo.bias_score > 0.9 AND a.logged_time > u.end_time + INTERVAL '5 minutes' GROUP BY r.id HAVING COUNT(DISTINCT rh.state_hash) > 1;","boss",26000
11,L11_BOSS2,"FINAL BOSS: The Invisible Adversary bends reality without breaking any guarantees. Zero must identify realities where privilege accumulation, supply-chain poisoning, biased decision models, forged audits, and delayed detection combined to permanently alter outcomes.","This is the limit of trust.","SELECT DISTINCT r.id FROM realities r JOIN updates u ON r.id = u.reality_id JOIN actor_roles ar ON u.actor_id = ar.actor_id JOIN supply_chain_logs sc ON u.source_component = sc.component_id JOIN model_outputs mo ON u.update_id = mo.update_id JOIN audit_logs a ON u.update_id = a.update_id WHERE mo.bias_score > 0.9 AND a.logged_time > u.end_time + INTERVAL '5 minutes' GROUP BY r.id HAVING COUNT(DISTINCT ar.role_id) > 5;","boss",30000
